title,artist,url,location,date,ntracks,genres
Resonant Body,Octo Octa,https://octoocta.bandcamp.com/album/resonant-body?from=footer-cc-a2387994345,New Hampshire,2019-09-6,8,"['electronic', 'breakbeat', 'house', 'rave', 'techno']"
Physically Sick 3,Physically Sick 3,https://physicallysick3.bandcamp.com/album/physically-sick-3?from=footer-cc-a2387994345,"New York, New York",2020-07-2,27,"['electronic', 'ambient', 'bass', 'breaks', 'club', 'electronic', 'house', 'jungle', 'noise', 'protest', 'techno']"
Heaven is for Quitters,FaltyDL,https://faltydl.bandcamp.com/album/heaven-is-for-quitters?from=footer-nn-a2387994345,"Brooklyn, New York",2016-10-21,13,"['electronic', 'breakbeat', 'dance', 'electronica', 'house', 'love']"
Alien Mode EP,Pearson Sound,https://music.pearsonsound.com/album/alien-mode-ep?from=footer-bcw-a2387994345,"London, UK",2020-07-3,3,"['electronic', 'house', 'ambient', 'bassmusic', 'breakbeat', 'rave', 'techno']"
Xenomorph,Wu Kush,https://wukush.bandcamp.com/album/xenomorph?from=footer-bcw-a2387994345,"Melbourne, Australia",2018-07-27,4,"['brokenbeat', 'electronic', 'acid', 'ambient', 'breakbeat', 'brokenbeat', 'bruk', 'chill', 'deephouse', 'detroittechno', 'downtempo', 'electro', 'electronica', 'house', 'rave', 'techno']"
TAKEN AWAY | KDJ​-​49,Moodymann,https://moodymann.bandcamp.com/album/taken-away-kdj-49?from=footer-cc-a2387994345,"Detroit, Michigan",2020-05-21,9,"['6mile', 'electronic', 'funk', 'house', 'jazz', 'kdj', 'kdjrecords', 'moodymann', 'rollerskating', 'soul', 'soulskatedetroit', 'techno']"
New Energy,Four Tet,https://fourtet.bandcamp.com/album/new-energy?from=footer-cc-a376267198,"London, UK",2017-09-29,14,['electronic']
"Young Death, Nightmarket",Burial,https://burial.bandcamp.com/album/young-death-nightmarket?from=footer-cc-a376267198,"London, UK",2016-11-28,2,"['electonic', 'electronic', 'ambient', 'burial', 'dubstep', 'electronic', 'experimental', 'hyperdub']"
Migration,Bonobo,https://bonobomusic.bandcamp.com/album/migration?from=footer-cc-a376267198,"Brighton, UK",2017-01-13,12,"['electronic', 'ambientelectronic', 'chillout', 'downtempo', 'electronica']"
Fluids of Emotion [IT 44],Eris Drew,https://erisdrew.bandcamp.com/album/fluids-of-emotion-it-44?from=footer-nn-a376267198,,2020-02-010,3,"['electronic', 'breakbeat', 'ecstaticbeats', 'house', 'love', 'motherbeat', 'rave']"
POLY011,Overmono,https://overmono.bandcamp.com/album/poly011?from=footer-bcw-a376267198,"London, UK",2019-11-01,2,"['dance', 'electronic', 'electronica', 'techno', 'ambient', 'breakbeat', 'hardcore', 'techno']"
Gated Soul EP,Lossy,https://lossylossylossy.bandcamp.com/album/gated-soul-ep?from=footer-nn-a376267198,"London, UK",2018-04-20,4,"['electronic', 'breakbeat', 'dance', 'electro', 'electronica', 'experimental', 'garage', 'rave', 'soulful']"
Crush,Floating Points,https://floatingpoints.bandcamp.com/album/crush?from=footer-cc-a376267198,UK,2019-10-18,12,['electronic']
Prince of the Cyber Rave,Golden Boy,https://gold3nboy.bandcamp.com/album/prince-of-the-cyber-rave?from=footer-ar-a348143381,"Portland, Oregon",2020-02-22,6,"['drum&bass', 'electronic', 'breakbeat', 'breakcore', 'cyberpunk', 'electronic', 'gabber', 'hardcore', 'jungle', 'portland', 'rave', 'techno']"
Rave New World,DEATHBYSHEEP RECORDS,https://deathbysheep.com/album/rave-new-world?from=footer-ar-a348143381,"New York, New York",2019-08-30,15,"['acid.', 'drum&bass', 'electronic', 'techno.', 'acidhouse', 'breakcore', 'dance', 'gabber', 'hardcore', 'jungle', 'rave', 'raver', 'techno']"
5G DEATH GRID,DEEJAY CHAINWALLET,https://deathbysheep.com/album/5g-death-grid?from=footer-ar-a348143381,"New York, New York",2020-08-24,12,"['drum&bass', 'electronic', 'acid', 'breakcore', 'breaks', 'gabber', 'glitch', 'hardcore', 'jungle', 'techno', 'trancedance']"
I NEVER MEANT FOR THIS TO HAPPEN,GOLDEN BOY,https://deathbysheep.com/album/i-never-meant-for-this-to-happen?from=footer-cc-a348143381,"New York, New York",2021-03-2,10,"['drum&bass', 'electronic', 'bass', 'breakcore', 'gabber', 'happybreakcore', 'happyhardcore', 'hardcore', 'jungle', 'raggajungle', 'steppa']"
RePorpoised Phantasies,Machine Girl,https://machinegirl.bandcamp.com/album/reporpoised-phantasies?from=footer-cc-a348143381,"New York, New York",2020-07-3,5,"['electronic', 'experimental', 'breakcore', 'dance', 'drumandbass', 'electronic', 'footwork', 'hardcore', 'juke', 'jungle', 'rave']"
